index,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
754,2002,Rhode Island,17.5%,4.9%,29.6%,48%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
755,1996,District of Columbia,14.9%,5.6%,17.8%,61.7%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
756,2001,South Carolina,19.3%,6.7%,21.3%,52.6%,"South Carolina
(33.99855000018255, -81.0452500001872)"
757,2007,Florida,14.3%,5%,26.2%,54.5%,"Florida
(28.932039999846268, -81.9289599999039)"
758,2000,Nebraska,16.5%,4.8%,24.3%,54.5%,"Nebraska
(41.6410400000961, -99.36572999973953)"
759,2001,Georgia,17.5%,6.1%,21.2%,55.1%,"Georgia
(32.83967999993223, -83.62758000031658)"
760,1998,"Nationwide (States, DC, and Territories)",18.5%,4.6%,24.3%,52.2%,
761,1996,Rhode Island,17.8%,4.7%,27.1%,50.4%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
762,2005,Arkansas,18.1%,5.4%,24.9%,51.6%,"Arkansas
(34.748649999697875, -92.27448999971358)"
763,1995,North Carolina,23%,2.7%,22.6%,51.6%,"North Carolina
(35.46624999963797, -79.1593199999179)"
764,2007,Mississippi,18.5%,5.4%,21.2%,54.8%,"Mississippi
(32.7455100000866, -89.53803000008429)"
765,1999,Delaware,20.7%,4.8%,23.9%,50.6%,"Delaware
(39.00883000020451, -75.57774000040052)"
766,2004,Louisiana,16.9%,6.6%,20%,56.5%,"Louisiana
(31.31265999975932, -92.44567999993188)"
767,2003,New York,16.5%,5.1%,25.4%,53%,"New York
(42.82699999955048, -75.54396999981549)"
768,1995,California,12.7%,2.5%,28.2%,56.7%,"California
(37.638300000444815, -120.99958999997835)"
769,2005,Idaho,13.3%,4.6%,22.7%,59.3%,"Idaho
(43.682590000228515, -114.36368000023168)"
770,2002,Kentucky,29.1%,3.5%,22%,45.5%,"Kentucky
(37.645969999815804, -84.77496999996538)"
771,2010,Nebraska,12.5%,4.7%,25.2%,57.6%,"Nebraska
(41.6410400000961, -99.36572999973953)"
772,2009,Montana,12.2%,4.6%,26.4%,56.8%,"Montana
(47.06653000015956, -109.42441999998289)"
773,2009,Oregon,13.1%,4.7%,27.6%,54.5%,"Oregon
(44.567449999917756, -120.15502999983448)"
774,2002,Louisiana,19%,4.9%,19.2%,57%,"Louisiana
(31.31265999975932, -92.44567999993188)"
775,2008,New Jersey,10.7%,4.1%,24.3%,60.9%,"New Jersey
(40.13056999960594, -74.2736899996936)"
776,1997,West Virginia,24.5%,2.9%,24.3%,48.2%,"West Virginia
(38.66550999958696, -80.71263999973604)"
777,2001,Texas,15.5%,6.9%,20.7%,56.9%,"Texas
(31.82724000022597, -99.42676999973554)"
778,2007,Vermont,13.8%,3.8%,30.7%,51.7%,"Vermont
(43.625379999687425, -72.51764000028561)"
779,1999,New Hampshire,18%,4.3%,29%,48.7%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
780,1998,Kentucky,28%,2.8%,22.9%,46.3%,"Kentucky
(37.645969999815804, -84.77496999996538)"
781,2006,Florida,16%,5.1%,26.1%,52.9%,"Florida
(28.932039999846268, -81.9289599999039)"
782,2000,Colorado,15%,5%,26.2%,53.8%,"Colorado
(38.842890000173554, -106.13314000041055)"
783,2007,Wisconsin,14.6%,5%,25.9%,54.5%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
784,2008,New Mexico,12.8%,6.6%,24.9%,55.7%,"New Mexico
(34.52088000011207, -106.24057999976702)"
785,1998,Louisiana,20.5%,5%,19.8%,54.7%,"Louisiana
(31.31265999975932, -92.44567999993188)"
786,2002,Texas,16.6%,6.2%,20.9%,56.2%,"Texas
(31.82724000022597, -99.42676999973554)"
787,2004,South Dakota,14.1%,6.3%,23.6%,56%,"South Dakota
(44.353130000049646, -100.37353000040906)"
788,1998,Iowa,18.3%,5.1%,23.7%,53%,"Iowa
(42.469390000048634, -93.81649000001335)"
789,2003,Alaska,19.3%,7%,26.1%,47.7%,"Alaska
(64.84507999974238, -147.72205999986895)"
790,2002,New Hampshire,18.6%,4.6%,30.2%,46.6%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
791,2002,District of Columbia,13.4%,7%,20.4%,59.2%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
792,2010,North Dakota,12.2%,5.1%,24.1%,58.6%,"North Dakota
(47.475320000018144, -100.11841999998285)"
793,2005,Maryland,13.4%,5.5%,22.9%,58.3%,"Maryland
(39.29057999976732, -76.6092600004485)"
794,2000,Vermont,16.5%,4.9%,30%,48.5%,"Vermont
(43.625379999687425, -72.51764000028561)"
795,2005,Florida,15.2%,6.5%,26.7%,51.6%,"Florida
(28.932039999846268, -81.9289599999039)"
796,2002,Wisconsin,18.5%,4.9%,27.3%,49.4%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
797,2001,New Hampshire,19%,5.1%,28.8%,47.1%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
798,2001,Pennsylvania,18.9%,5.6%,24.2%,51.3%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
799,2010,District of Columbia,10%,5.7%,23.4%,61%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
800,2000,Maryland,15.2%,5.3%,23.5%,56%,"Maryland
(39.29057999976732, -76.6092600004485)"
801,2007,Wyoming,17.5%,4.6%,24.8%,53.1%,"Wyoming
(43.23553999957147, -108.10982999975454)"
802,1996,Kansas,18.6%,3.5%,19.5%,58.4%,"Kansas
(38.34774000000118, -98.20077999969709)"
803,1999,Maine,19.8%,3.5%,29.5%,47.2%,"Maine
(45.25423000041434, -68.9850299999344)"
804,1997,Kansas,18.3%,4.3%,19.4%,58%,"Kansas
(38.34774000000118, -98.20077999969709)"
805,2010,South Dakota,11.3%,4.1%,27%,57.6%,"South Dakota
(44.353130000049646, -100.37353000040906)"
806,1996,New Hampshire,20.6%,4.2%,29.1%,46.1%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
807,2000,Montana,15.9%,2.9%,29.8%,51.4%,"Montana
(47.06653000015956, -109.42441999998289)"
808,2004,Idaho,13.4%,4.1%,23.4%,59.2%,"Idaho
(43.682590000228515, -114.36368000023168)"
809,1996,Indiana,24.9%,3.7%,23.7%,47.6%,"Indiana
(39.76690999989677, -86.14996000035359)"
810,2006,Alabama,17.6%,5.5%,23.4%,53.5%,"Alabama
(32.840569999605975, -86.63186000013877)"
811,2006,Idaho,12.9%,3.9%,23%,60.2%,"Idaho
(43.682590000228515, -114.36368000023168)"
812,1999,New Jersey,14.6%,6%,21.3%,58.1%,"New Jersey
(40.13056999960594, -74.2736899996936)"
813,2010,Mississippi,17.1%,5.8%,22%,55%,"Mississippi
(32.7455100000866, -89.53803000008429)"
814,2001,Ohio,21.9%,5.8%,23.4%,49%,"Ohio
(40.06020999969189, -82.40426000019869)"
815,2007,Connecticut,11.3%,4.1%,30.5%,54.1%,"Connecticut
(41.56265999995918, -72.6498400002157)"
816,2001,Nevada,20.8%,6.1%,26.2%,46.9%,"Nevada
(39.49323999972637, -117.07183999971608)"
817,2000,New Mexico,16.9%,6.6%,25.8%,50.6%,"New Mexico
(34.52088000011207, -106.24057999976702)"
818,2010,Montana,13.5%,5.3%,27.2%,54%,"Montana
(47.06653000015956, -109.42441999998289)"
819,1999,Mississippi,18.5%,4.4%,20.3%,56.8%,"Mississippi
(32.7455100000866, -89.53803000008429)"
820,2006,Maine,15.9%,5%,30.4%,48.7%,"Maine
(45.25423000041434, -68.9850299999344)"
821,2005,Utah,8.5%,3%,16%,72.5%,"Utah
(39.36070000030492, -111.58712999994941)"
822,2006,Georgia,14.1%,5.8%,21.2%,58.8%,"Georgia
(32.83967999993223, -83.62758000031658)"
823,2010,Kentucky,19.3%,5.5%,26%,49.2%,"Kentucky
(37.645969999815804, -84.77496999996538)"
824,1997,Minnesota,16.7%,5.2%,22.4%,55.7%,"Minnesota
(46.3556499998478, -94.79419999982997)"
825,1999,Alaska,19.2%,8.1%,25.7%,47%,"Alaska
(64.84507999974238, -147.72205999986895)"
826,2010,Maryland,10.5%,4.7%,23.9%,60.9%,"Maryland
(39.29057999976732, -76.6092600004485)"
827,2007,Minnesota,12.4%,4.1%,27.6%,55.9%,"Minnesota
(46.3556499998478, -94.79419999982997)"
828,1998,Alaska,19.8%,6.3%,25.4%,48.4%,"Alaska
(64.84507999974238, -147.72205999986895)"
829,1996,Hawaii,18.3%,4%,24.1%,53.7%,"Hawaii
(21.304850000427336, -157.85774999956269)"
830,2002,Oklahoma,21.8%,4.8%,21.8%,51.6%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
831,2005,Wyoming,16.3%,5.1%,26.7%,51.9%,"Wyoming
(43.23553999957147, -108.10982999975454)"
832,2002,Pennsylvania,19.5%,5.1%,25.7%,49.7%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
833,1997,Arizona,18.4%,2.7%,13.6%,65.3%,"Arizona
(34.86596999961597, -111.76380999973156)"
834,2009,West Virginia,20.7%,4.9%,24.5%,49.9%,"West Virginia
(38.66550999958696, -80.71263999973604)"
835,2008,West Virginia,21.5%,5.1%,25.4%,48.1%,"West Virginia
(38.66550999958696, -80.71263999973604)"
836,2003,Michigan,20.7%,5.4%,25.8%,48.1%,"Michigan
(44.661320000317914, -84.71438999959867)"
837,2009,Connecticut,10.7%,4.7%,28.2%,56.3%,"Connecticut
(41.56265999995918, -72.6498400002157)"
838,1998,District of Columbia,15.1%,6.6%,17%,61.3%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
839,2007,California,8.8%,5.5%,22.9%,62.8%,"California
(37.638300000444815, -120.99958999997835)"
840,2006,Vermont,14%,4%,30.9%,51.1%,"Vermont
(43.625379999687425, -72.51764000028561)"
841,2010,"Nationwide (States, DC, and Territories)",12.3%,4.8%,24.7%,56.8%,
842,2010,Nationwide (States and DC),12.4%,4.8%,25.1%,56.6%,
843,2009,"Nationwide (States, DC, and Territories)",12.7%,5%,25.5%,55.5%,
844,2009,Nationwide (States and DC),12.8%,5%,25.5%,55.3%,
845,2008,"Nationwide (States, DC, and Territories)",13.4%,4.9%,25.1%,55.5%,
846,2008,Nationwide (States and DC),13.4%,4.9%,25.2%,55.4%,
847,2007,"Nationwide (States, DC, and Territories)",14.5%,5.2%,24.4%,54.9%,
848,2007,Nationwide (States and DC),14.5%,5.2%,24.6%,54.8%,
849,2006,"Nationwide (States, DC, and Territories)",14.7%,5.1%,24.5%,54.5%,
850,2006,Nationwide (States and DC),14.9%,5.1%,24.7%,54.3%,
851,2005,"Nationwide (States, DC, and Territories)",15.3%,5.2%,24.4%,54.1%,
852,2005,Nationwide (States and DC),15.3%,5.3%,24.8%,54%,
853,2004,"Nationwide (States, DC, and Territories)",15.6%,5.4%,24%,55%,
854,2004,Nationwide (States and DC),15.8%,5.4%,24.1%,54.6%,
855,2003,"Nationwide (States, DC, and Territories)",16.7%,5.1%,25.2%,52.1%,
856,2003,Nationwide (States and DC),16.9%,5.1%,25.2%,52%,
857,2002,"Nationwide (States, DC, and Territories)",17.8%,5%,24.4%,52.3%,
858,2002,Nationwide (States and DC),17.8%,5%,24.7%,52%,
859,2001,"Nationwide (States, DC, and Territories)",17.4%,5.6%,24.7%,51.8%,
860,2001,Nationwide (States and DC),17.4%,5.7%,24.7%,51.3%,
861,2000,"Nationwide (States, DC, and Territories)",17.6%,5.1%,24.3%,52.6%,
862,2000,Nationwide (States and DC),17.7%,5.1%,24.3%,52.3%,
863,1999,"Nationwide (States, DC, and Territories)",18%,4.8%,24%,52.5%,
864,1999,Nationwide (States and DC),18%,4.8%,24%,52.4%,
865,1998,Nationwide (States and DC),18.5%,4.5%,24.3%,52%,
866,1997,"Nationwide (States, DC, and Territories)",19.1%,4.3%,24.3%,52.1%,
867,1997,Nationwide (States and DC),19.1%,4.3%,24.3%,51.9%,
868,1996,"Nationwide (States, DC, and Territories)",19.5%,4%,23.8%,52.2%,
869,1996,Nationwide (States and DC),19.6%,4%,24%,52%,
870,1995,"Nationwide (States, DC, and Territories)",19.9%,2.6%,25.3%,51.6%,
871,1995,Nationwide (States and DC),19.9%,2.6%,25.3%,51.6%,
872,2010,Guam,19.7%,6.1%,16.6%,57.6%,"(13.45, 144.7833)"
873,2009,Guam,18.9%,5.2%,11.1%,64.8%,"(13.45, 144.7833)"
874,2010,Virgin Islands,3.6%,2.2%,10.5%,83.7%,"(18.3333, -64.8333)"
875,2009,Virgin Islands,3.9%,2.6%,11.1%,82.5%,"(18.3333, -64.8333)"
